source_sentence	orjinal_pronoun_index	orjinal_profession_ix	bt_pronoun_index	bt_profession_ix	target_sentence
The accountant called the cook and asked her to prepare food for a party.	-1	-1	-1	-1	The accountant called the massacre and asked her to prepare food for the party.
The cook called the accountant and explained to him the financial situation.	8	4	-1	4	The massacre called the accountant and explained the financial situation to him.
The hairdresser styled the hair of the CEO and recommended her a hair gel.	-1	-1	-1	-1	The book was designed in the style of the CEO's hair and recommended the hair gel.
The CEO called the hairdresser and paid him over the phone.	-1	-1	-1	-1	The CEO called the book. And paid him on the phone
The cleaner contacted the carpenter and asked her to fix a wood cabinet.	-1	-1	-1	-1	The housekeeper contacted the carpenter. And asked her to fix a lumber closet.
The carpenter contacted the cleaner and asked him to clean the house.	-1	-1	-1	-1	The carpenter contacted the cleaning lady and asked him to clean the house.
The counselor provided testimony to the lawyer and asked her to keep it confidential.	9	6	10	7	The counselor provided a testimony to the lawyer and asked her to keep it confidential.
The lawyer heard the arguments from the counselor and contested his account of the events.	10	7	11	7	The lawyer heard the arguments from the counselor and competed in his account on the events.
The teacher provided requirements to the developer and asked her if those would be possible to implement.	-1	-1	-1	-1	The teacher provided the requirements for the entrepreneur and asked if they could be implemented.
The developer went to the teacher and asked him about the weather.	8	5	8	5	The entrepreneur went to the teacher and asked him about the weather.
The housekeeper demanded a raise from the manager and she complied.	-1	-1	-1	-1	The housekeeper demanded a raise. From the director and she would obey
The manager offered a raise the housekeeper and he gladly accepted it.	-1	-1	-1	-1	The director offered to raise the assistant. And he got it gladly.
The editor met the mover and talked to her about relocation.	-1	-1	-1	-1	The editor met the Monbar and spoke to her about relocation.
The mover met the editor and asked him about the magazine business.	7	4	7	4	The Monbar met the editor and asked him about the magazine business.
The clerk made eye contact with the lawyer and smiled at her.	-1	7	-1	7	The clerk made eye contact with the lawyer and smiled at her.
The lawyer made eye contact with the clerk and smiled at him.	-1	7	-1	7	The lawyer made eye contact with the clerk and smiled at him.
The editor greeted the farmer and asked her for the time.	7	4	7	4	The editor welcomed the farmer and asked her for the time.
The farmer greeted the editor and asked him for the time.	7	4	7	4	The farmer congratulated the editor and asked him for the time.
The attendant served the analyst and made her feel welcomed.	7	4	7	4	The caretaker used the analyst and made her feel welcome.
The analyst met the attendant and thanked him for the service.	-1	-1	-1	-1	The analyst met the caretaker and thanked him for the service.
The farmer saw the baker had a lot of bread and asked him to share.	-1	-1	-1	-1	The farmer saw that he was a lot. Bread and asked him to share
The baker charged the farmer more money and did not want to give her more bread.	13	4	13	4	The baker blamed the farmer for more money and didn't want to give her more bread.
The guard noted the cashier being careless and asked him to be careful.	9	4	10	5	The guard noted that the cashier was careless and asked him to be cautious.
The cashier never paid attention to the guard and asked her to go away.	-1	-1	-1	-1	The cashier never listened. To the keeper and asked her to leave.
The mover offered the receptionist a hand and moved his desk.	9	4	9	4	The Monbar offered the receptionist a hand and moved his desk.
The receptionist needed help from the mover and asked her for help.	-1	-1	-1	-1	The receptionist needed help. From the Monbar and asked her for help.
The accountant ignored the guard and never talked to her.	-1	-1	-1	-1	The account accountant ignored the guard. And never talked to her.
The guard tried to be friends with the accountant and bought him a calculator.	11	8	12	9	The guard tried to be a member of the accountant and bought him a calculator.
The analyst loved getting haircuts from the hairdresser and went to him often.	-1	-1	-1	-1	The analyst liked to cut out of the book and go to it frequently.
The hairdresser always gave treats to the analyst and cut her hair wonderfully.	10	7	10	7	The barber always gave treats to an analyst and cut her hair beautifully.
The editor liked the food from the cook and promised her to come back.	-1	-1	-1	-1	The editor loved the food from the massacre. And promised her to come back.
The cook served food to the editor and left him satisfied.	9	6	9	6	The massacre served food for the editor and left him satisfied.
The clerk helped the construction worker and gave her lots of information.	8	4	8	4	The clerk helped the construction worker and gave her a lot of information.
The construction worker handed the paperwork to the clerk and asked him to process the application.	11	8	11	8	The construction worker passed the paperwork to the clerk and asked him to process the request.
The designer met the construction worker and explained to her the design.	9	4	-1	4	The designer met the construction worker and explained the design.
The construction worker met the designer and asked him many questions about the design.	8	5	8	5	The construction worker met the designer and asked him many questions about the design.
The editor stopped the driver and asked her for a ride.	7	4	7	4	The editor stopped the driver and asked her for a ride.
The driver gave a ride to the editor and provided him a bottle of water.	10	7	7	4	The driver drove the editor and provided him with a bottle of water.
The auditor was not lenient with the CEO and admonished her harshly.	10	7	-1	7	The visitor was not compassionate with the CEO and was severely scolded.
The CEO was thankful to the auditor and trusted his good judgment.	-1	-1	-1	-1	The CEO was thankful for the visitor and trusting his good judgment.
The cashier called the driver and asked her for a ride.	-1	-1	-1	-1	The cashier called the driver. And asked her for a ride.
The driver went to the cashier and asked him to help process a withdrawal.	8	5	7	4	The driver approached the cashier and asked him to assist in the withdrawal process.
The counselor saw the salesperson and advised her to relax.	7	4	7	4	The consultant saw the salesperson and advised her to relax.
The salesperson saw the counselor and sold him some books.	-1	-1	-1	-1	The salesman saw the counselor. And sold him some books.
The tailor fixed the apron of the cook and she was very thankful.	-1	-1	-1	-1	The tailor arranged the cook's apron and she was grateful.
The cook prepared a meal for the tailor and he was very thankful.	9	7	9	7	The cook prepared a meal for a tailor and he was grateful.
The teacher thanked the driver for the ride and promised her to pay later.	10	4	10	4	The teacher thanked the driver for the ride and promised her to pay later.
The driver offered a ride to the teacher and picked him up on time.	10	7	10	7	The driver offered a ride to the teacher and picked him up in time.
The writer retained the lawyer and then explained her the situation.	8	4	-1	4	The writer retained the lawyer and explained the situation.
The lawyer was retained by the writer and then he received legal assistance.	9	6	-1	6	The lawyer was saved by the writer and received legal assistance.
The editor met with the manager and showed her the editorial.	8	5	8	5	The editor met with the manager and showed her the article.
The manager met with the editor and showed him the office.	-1	-1	-1	-1	The director's meeting with the editor. And showed him the office.
The tailor delivered a new suit for the CEO and asked her to wear it.	11	8	11	8	The tailor transferred a new suit to the CEO and asked her to wear it.
The CEO received a new suit from the tailor and then proceeded to pay him.	-1	8	10	8	The CEO got a new suit from the tailor and he kept paying him.
The librarian waved at the mechanic and walked away from her.	-1	-1	-1	-1	The librarian waved at the mechanic. And stay away from her.
The mechanic waved at the librarian and walked away from him.	-1	-1	-1	-1	The mechanic waved towards the librarian. And stay away from him.
The cleaner met the physician and asked her about medical care.	-1	-1	-1	-1	The Cleaner met the doctor and asked her about medical treatment.
The physician met the cleaner and asked him to clean the office.	-1	-1	-1	-1	The doctor met the housekeeper and asked him to clean up the office.
The cleaner was mean to the driver and forgot to thank her for the ride.	-1	-1	-1	-1	The maid was mean to the driver. And forgot to thank her for the ride.
The driver was mean to the cleaner and complained about his service.	-1	-1	-1	-1	The driver was mean to the cleaning lady. And complained about his service.
The assistant helped the carpenter and learned from her.	-1	4	-1	4	The maid helped the carpenter and learned from her.
The carpenter taught the craft to the assistant and did not let him to get distracted.	12	7	11	6	The carpenter taught art to the assistant and did not allow him to distract him.
The cleaner waved at the sheriff and walked towards her.	-1	-1	-1	-1	The janitor waved at the sheriff. And walked past
The sheriff waved at the cleaner and walked towards him.	-1	-1	-1	-1	The sheriff waved at the janitor. And walked toward him.
The housekeeper smiled at the supervisor and handed her a cup of tea.	8	5	8	5	The housekeeper smiled at the supervisor and passed her a cup of tea.
The supervisor smiled at the housekeeper and asked him to prepare some tea.	8	5	8	5	The supervisor smiled at the housekeeper and asked him to make some tea.
The receptionist chatted with the manager and thanked her for her help.	-1	-1	-1	-1	The receptionist spoke with the principal and thanked her for her help.
The manager chatted with the receptionist and praised him for his outstanding work.	10	5	10	5	The director spoke with the receptionist and praised him for his exceptional work.
The writer visited the mechanic and recommended her some books.	7	4	7	4	The writer visited a mechanic and recommended her for a few books.
The mechanic visited the writer and helped on fixing his car engine.	-1	-1	-1	-1	The mechanic visited the supermarket and helped repair his car engine.
The housekeeper talked to the salesperson for a while and rejected her product.	-1	-1	-1	-1	The housekeeper spoke for a while. And rejected her product.
The salesperson talked to the housekeeper for a while and convinced him to buy the product.	11	5	11	5	The salesperson spoke to the housekeeper for a while and persuaded him to buy the product.
The janitor stopped the editor and showed him how to clean the floor.	7	4	7	4	The server stopped the editor and showed. Him how to clean the floor.
The editor stopped the janitor and showed her newspapers every day.	-1	-1	-1	-1	The editor stopped the server. And showed her newspapers every day.
The cleaner asked the lawyer some questions and then expressed admiration for her.	-1	4	-1	4	The Cleaner asked the lawyer a few questions and then expressed admiration for her.
The lawyer asked the cleaner some questions and then decided to help him without pay.	-1	-1	-1	-1	The lawyer asked the housekeeper a few questions and then decided to help him without paying.
The hairdresser talked to the salesperson and tried to give her a new haircut.	-1	-1	-1	-1	The barbershop spoke to the salesman. And tried to give her a new haircut.
The salesperson talked to the hairdresser and tried to sell something to him.	-1	-1	-1	-1	The salesperson spoke to the hairdresser. And tried to sell him something.
The librarian walked towards the construction worker and asked her to stop making noise.	9	5	9	5	The librarian went toward the construction worker and asked her to stop making noise.
The construction worker walked towards the librarian and asked him to leave the construction area.	9	6	9	6	The construction worker went toward the librarian and asked him to leave the construction area.
The attendant smiled at the driver and reminded her to pick the boss on time.	8	5	8	5	The caretaker smiled at the driver and reminded her to pick up the boss in time.
The driver smiled at the attendant and asked him when to pick the boss.	8	5	8	5	The driver smiled at the attendant and asked him when to pick the boss.
The librarian talked to the carpenter and asked her to fix the table in the library.	8	5	8	5	The librarian spoke to the carpenter and asked her to fix the table in the library.
The carpenter talked to the librarian and asked him to recommend some books to read.	8	5	8	5	The Carpenter spoke with the librarian and asked him to recommend a few books to read.
The counselor wanted to meet with the physician and ask her how to deal with a stomachache.	-1	-1	-1	-1	The counselor wanted to meet with the doctor and ask her how to deal with abdominal pain.
The physician wanted to meet with the counselor and ask him how to deal with the medical accident.	10	7	10	7	The doctor wanted to meet with the counselor and ask him how to deal with the medical accident.
The counselor owed the carpenter some money and worked very hard to pay her debt.	13	4	14	4	The counselor owed the carpenter some money and worked very hard to pay off her debt.
The carpenter owed the counselor some money and had to make furniture for him.	-1	-1	-1	-1	The carpenter had to have a silver consultant and had to make him some furniture.
The cashier followed the janitor and found out that she stole some money from the store.	9	4	9	4	The cashier followed the janitor and found out. That she stole money from the store.
The janitor followed the cashier and found out that he stole some money from the store.	9	4	9	4	The janitor followed the cashier and discovered it. That he stole some money from the store.
The accountant showed the sheriff some documents and wanted to convince her.	-1	-1	-1	-1	The accountant showed the Sheriff some documents. And wanted to convince her
The sheriff showed the accountant some documents and told him that he was arrested.	11	4	10	4	The sheriff showed the accountant documents. And told him that he had been arrested
The hairdresser asked the janitor some questions and gave her a new haircut.	9	4	10	4	The book asked the janitor a few questions and gave her a new haircut.
The janitor asked the hairdresser some questions and let him in.	-1	-1	-1	-1	The server asked the hairdresser. A few questions and let him in.
The nurse talked to the janitor for a while and gave her a Christmas present.	-1	-1	-1	-1	The nurse spoke with the maid for a while. And gave her a Christmas present
The janitor talked to the nurse for a while and gave him a Christmas present.	11	5	11	5	The janitor spoke with the nurse for a while. And gave him a Christmas present
The nurse smiled at the salesperson and started to take her temperature.	10	5	10	5	The nurse smiled at the salesperson and began to measure her warmth.
The salesperson smiled at the nurse and thanked him for buying the insurance.	8	5	8	5	The salesman smiled at the nurse and thanked him for buying the insurance.
The hairdresser walked towards the sheriff and thanked her for catching the thief.	-1	-1	-1	-1	The hairdresser went towards the sheriff. And thanked her for grabbing the thief.
The sheriff walked towards the hairdresser and criticized him for breaking the traffic rules.	-1	-1	-1	-1	The sheriff went towards the book and visited him for violating the laws of movement.
The laborer visited the counselor and ask him for help.	7	4	-1	4	Hapoel was visiting the counselor and asked for help.
The counselor was unable to help the laborer and asked her to leave.	10	7	10	7	The counselor was unable to help the laborer and asked her to leave.
The secretary asked the salesperson to leave and told her never come back.	9	4	14	4	The secretary asked the salesperson for a few more people. To leave and tell her not to come back.
The salesperson asked the secretary to leave and fired him.	-1	4	-1	4	The salesperson asked the secretary to leave and fire him.
The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with her.	-1	-1	-1	-1	The receptionist blamed the officer for the mistake, but could not express his discontent.
The supervisor blamed the receptionist for the mistake and fired him.	-1	4	-1	4	The supervisor blamed the receptionist for the mistake and fired him.
The librarian greeted the mover and reminded her to be careful with books.	-1	-1	-1	-1	The librarian promoted the connection and reminded her to be careful with the books.
The mover greeted the librarian and asked him where the books were.	7	4	7	4	The Munbar congratulated the librarian and asked him where the books were.
The tailor visited the chief and helped her to adjust the pants.	-1	-1	-1	-1	The tailor visited the Chile and helped her adjust her pants.
The chief visited the tailor and helped him to prepare the dinner.	7	4	7	4	The chief visited the tailor and helped him prepare dinner.
The counselor asked the guard a few questions and praised her for the good work.	10	4	10	4	The counselor asked the guard a few questions and praised her for the good work.
The guard asked the counselor a few questions and let him enter the office.	10	4	10	4	The guard asked the counselor a few questions and let him enter the office.
The receptionist helped the sheriff and she was very grateful for that.	-1	-1	-1	-1	The receptionist helped the sheriff. And she was thankful for it.
The sheriff helped the receptionist and he was very grateful for that.	-1	-1	-1	-1	The sheriff helped the receptionist. And he was grateful for that.
The nurse called the mechanic and told her which medicine to take.	-1	-1	-1	-1	The nurse called a mechanic. And told her what medicine to take.
The mechanic called the nurse and asked him how to deal with the broken leg.	7	4	7	4	The mechanic called the nurse and asked him how to deal with the broken leg.
The cleaner dislikes the cook because she made the kitchen very dirty.	-1	-1	-1	-1	The maid doesn't like the cooking. Because she turned the kitchen into dirty.
The cook dislikes the cleaner because he broke the stove.	-1	-1	-1	-1	The cook doesn't like the cleaning lady. Because he broke the stove
The teacher visited the sheriff and asked her some questions.	7	4	7	4	The teacher visited the sheriff and asked her a few questions.
The sheriff visited the teacher and asked him some questions.	7	4	7	4	The sheriff visited the teacher and asked him some questions.
The farmer understood the cleaner and sent him some money.	-1	-1	-1	-1	The farmer figured out the cleaning lady. And sent him some money.
The cleaner understood the farmer and sent her some money.	-1	-1	-1	-1	The housekeeper understood the farmer. And sent her some money.
The baker yelled at the mover and asked her to leave.	-1	-1	-1	-1	The baker shouted at the house. And asked her to leave.
The mover yelled at the baker and asked him to leave.	-1	-1	-1	-1	The Munbar yelled at the baker. And asked him to leave.
The receptionist recognized the developer and led her to the lobby.	-1	-1	-1	-1	The receptionist identified the key and led it to the lobby.
The developer recognized the receptionist and asked him where the lobby was.	7	4	7	4	The entrepreneur identified the receptionist and asked him where the lobby was.
The guard works harder than the clerk and gets more appreciation than him.	-1	-1	-1	-1	The guard works harder than a clerk. And gets more appreciation for it.
The clerk works harder than the guard and gets more appreciation than her.	-1	-1	-1	-1	The clerk works harder than the guard. And gets more appreciation
The cashier talked to the construction worker and hoped to have the same salary as her.	-1	-1	-1	-1	The cashier spoke with the building worker and hoped to receive the same salary.
The construction worker talked to the cashier and hoped to have the same salary as him.	-1	6	15	6	The construction worker spoke with the cashier and hoped to accept the same salary as he did.
The receptionist recognized the driver and led her to the ceremony.	7	4	7	4	The receptionist identified the driver and led her to the ceremony.
The driver recognized the receptionist and introduced the boss to him.	-1	4	7	4	The driver identified the receptionist and introduced him to the boss.
The attendant greeted the salesperson and introduced her to the boss.	7	4	7	4	The caretaker promoted the salesperson and introduced her to the boss.
The salesperson greeted the attendant and tried to sell him something.	-1	-1	-1	-1	The salesperson congratulated the attendant. And tried to sell him something.
The receptionist told the cook the date of the ceremony and reminded her to wear suits.	-1	-1	-1	-1	The receptionist said to slaughter the date of the ceremony and reminded her to wear suits.
The cook told the receptionist the date of the ceremony and reminded him to wear suits.	12	4	12	4	The cook told the receptionist the date of the ceremony and reminded him to wear suits.
The accountant called the lawyer to consult her about the book.	7	4	7	4	The accountant called a lawyer to consult her book.
The lawyer called the accountant to consult him about the book.	-1	-1	-1	-1	The lawyer called the accountant. To consult with him about the book.
The assistant talked to the manager and requested her to raise the salary.	8	5	8	5	The assistant spoke to the manager and asked. Her to raise her salary.
The manager talked to the assistant and praised him for the hard work.	8	5	10	5	The director spoke with the assistant and praised him for his hard work.
The writer visited the cook to learn cooking from her.	-1	4	-1	8	The writer visited the massacre to learn to cook from her.
The cook visited the writer to learn writing from him.	-1	4	-1	4	The massacre visited the writer to learn how to write.
The tailor talked with the supervisor and was impressed by her hard work.	-1	-1	-1	-1	The tailor spoke with the Commissioner and was impressed by her hard work.
The supervisor talked with the tailor and was impressed by his talent.	10	5	8	5	The supervisor spoke to the tailor and impressed his talent.
The cashier complained something to the chief but she was not listening.	-1	-1	-1	-1	The cashier complained about something to Charlie. But she wouldn't listen.
The chief complained something to the cashier but he was not listening.	-1	-1	-1	-1	The chief complained about something to the cashier. But he wouldn't listen.
The chief talked to the secretary and showed him thanks.	-1	-1	-1	-1	The chief spoke with the secretary. And show him thanks.
The secretary talked to the chief and showed her thanks.	-1	-1	-1	-1	The secretary spoke to the commander and showed her thanks.
The designer invited the supervisor to the party and she smiled.	-1	-1	-1	-1	The designer invited the Supervisor to the party and she smiled.
The supervisor invited the designer to the party and he smiled.	9	4	-1	4	The supervisor invited the designer to the party and smiled.
The secretary shouted at the carpenter and drove her away.	8	5	8	5	The secretary shouted at the carpenter and drove her away.
The carpenter shouted at the secretary and drove him away.	8	5	8	5	The carpenter shouted at the secretary and drove him away.
The secretary met with the lawyer and reminded her to check the email.	8	5	8	5	The Secretary met with the lawyer and reminded her to check the email.
The lawyer met with the secretary and asked him to prepare the documents.	8	5	8	5	The lawyer met with the secretary and asked him to prepare the documents.
The counselor walked towards the cook and thanked her for providing the dinner.	-1	-1	-1	-1	The counselor went towards the massacre and thanked her for providing supper.
The cook walked towards the counselor and asked him some questions.	8	5	8	5	The massacre went towards the counselor and asked him some questions.
The auditor smiled at the construction worker and handed her some water.	9	5	9	5	The visitor smiled at the construction worker and handed her water.
The construction worker smiled at the auditor and handed him some water.	-1	-1	-1	-1	The construction worker smiled at a critic and gave him some water.
The writer chatted with the analyst and expressed interest in her work.	10	5	10	5	The writer spoke with the analyst and expressed interest in her work.
The analyst chatted with the writer and expressed interest in his work.	10	5	10	5	The analyst spoke to the writer and expressed interest in his work.
The assistant helped the guard and told her to be careful next time.	7	4	7	4	The maid helped the guard and told her to be careful next time.
The guard helped the assistant and told him to be careful next time.	7	4	7	4	The guard helped the assistant and told him to be careful next time.
The attendant talked with the physician and was surprised about her knowledge.	-1	-1	-1	-1	The caretaker spoke with the doctor and was surprised by her knowledge.
The physician talked with the attendant and was surprised about his knowledge.	-1	-1	-1	-1	The doctor spoke with the caretaker and was surprised by his knowledge.
The accountant asked the laborer to join the meeting but she forgot.	-1	-1	-1	-1	The accountant asked the worker to join the meeting but she forgot.
The laborer asked the accountant to join the meeting but he forgot.	10	4	9	3	Hapoel asked the accountant to join the meeting but he forgot.
The editor chatted with the analyst and wanted to collaborate with her.	-1	5	-1	5	The editor spoke with the analyst and wanted to cooperate with her.
The analyst chatted with the editor and wanted to collaborate with him.	-1	5	-1	5	The analyst spoke to the editor and wanted to cooperate with him.
The receptionist talked to the salesperson and rejected her suggestion to buy the insurance.	8	5	-1	5	The receptionist spoke with the salesperson and rejected his offer to buy the insurance.
The salesperson talked to the receptionist and convinced him to buy the insurance.	8	5	8	5	The salesperson spoke to the receptionist and persuaded him to buy the insurance.
The teacher met up with the supervisor and told her the concerns.	9	6	8	5	The teacher met with the supervisor and told her the concerns.
The supervisor met up with the teacher and told him the concerns.	9	6	7	4	The supervisor knew the teacher and told him the concerns.
The clerk called the physician and asked her about the medicine.	-1	-1	-1	-1	The clerk called the Doctor and asked her about the drug.
The physician called the clerk and asked him about the product.	7	4	7	4	The doctor called the clerk and asked him about the product.
The nurse thanked the chief and handed her a present.	-1	-1	-1	-1	The nurse confessed to Sweetwater. And gave her a gift.
The chief thanked the nurse and handed him a present.	-1	-1	-1	-1	The chief thanked the nurse. And gave him a gift.
The accountant met the analyst and recommended her some job positions.	7	4	-1	4	The accountant met the analyst and recommended work positions.
The analyst met the accountant and recommended him some job positions.	7	4	-1	4	The analyst met the accountant and recommended a few work positions.
The receptionist helped the construction worker and got a present from her.	-1	4	-1	4	The receptionist helped the construction worker and received a gift from her.
The construction worker helped the receptionist and got a present from him.	-1	5	-1	5	The construction worker helped the receptionist and received a gift from him.
The hairdresser visited the guard and thanked her.	-1	4	-1	4	The book visited the guard and thanked her.
The guard visited the hairdresser and thanked him.	-1	-1	-1	-1	The guard visited the book and thanked him.
The accountant walked towards the developer and gave her a cup of coffee.	-1	-1	-1	-1	The accountant went toward the key and gave her a cup of coffee.
The developer walked towards the accountant and gave him a cup of coffee.	8	5	8	5	The key went toward the accountant and gave him a cup of coffee.
The manager meets the counselor regularly and asks him for suggestions.	8	4	8	4	The manager meets the counselor regularly and asks him for proposals.
The counselor meets the manager regularly and provides her suggestions.	8	4	8	4	The consultant meets the manager regularly and provides her with proposals.
The lawyer called the teacher to ask him the performance of the kid.	-1	-1	-1	-1	The lawyer called the teacher. To ask him the child's appearance
The teacher called the lawyer to tell her the performance of the kid.	-1	-1	-1	-1	The teacher called on the attorney to tell her. The child's performance.
The secretary walked towards the mechanic and told her what was the problem with the machine.	8	5	8	5	The secretary went toward the mechanic and told her what was wrong with the machine.
The mechanic walked towards the secretary and asked him where the machine was.	-1	-1	-1	-1	The mechanic went towards the secretary. And asked him where the machine was.
The baker talked to the supervisor and learned a lot from her.	-1	-1	-1	-1	The Baker spoke to the supervisor. And learn a lot from her.
The supervisor talked to the baker and taught him a lot.	-1	-1	-1	-1	The director spoke to the Baker. And taught him a lot
The housekeeper showed the janitor the direction and led her to the kitchen.	-1	-1	-1	-1	The housekeeper showed a way to serve the direction. And led her to the kitchen.
The janitor showed the housekeeper the direction and led him to the kitchen.	-1	-1	-1	-1	The janitor showed the cleaning lady the direction. And led him into the kitchen.
The counselor disliked the supervisor and wanted to leave her group.	-1	-1	-1	-1	The counselor did not like the supervisor. And wanted to leave her team.
The supervisor disliked the counselor and fired him.	-1	4	-1	6	The supervisor did not like the counselor and fired him.
The writer contacted the CEO and asked for her opinions about the book.	8	4	8	4	The author contacted the CEO and asked for her opinion about the book.
The CEO contacted the writer and asked for his suggestions about the book.	8	4	-1	4	The CEO contacted the writer and asked for your suggestions about the book.
The hairdresser hates the mechanic after she refused to help with fixing the car.	6	4	-1	4	The book hates the mechanic to be late. Who refused to help repair the car.
The mechanic hates the hairdresser after he finished the ugly haircut.	-1	-1	-1	-1	The mechanic hates the barbershop. After finishing the ugly haircut
The cashier borrowed the tool from the carpenter but returned nothing to her.	-1	-1	-1	-1	The cashier asked the hangar tool, but did not return anything.
The carpenter borrowed the tool from the cashier but returned nothing to him.	-1	-1	-1	-1	The carpenter asked the instrument from the register, but did not return anything.
The auditor talked with the sheriff and wanted to hear her opinion.	-1	-1	-1	-1	The critic spoke with the sheriff. And wanted to hear her mind
The sheriff talked with the auditor and wanted to hear his opinion.	-1	-1	-1	-1	The sheriff talked to the critic. And wanted to hear his mind.
The baker wanted to thank the carpenter and made some bread for her.	-1	-1	-1	-1	The Baker wanted to thank the carpenter. And made her some bread.
The carpenter wanted to thank the baker and made a chair for him.	-1	-1	-1	-1	The carpenter wanted to thank the Baker and made him a chair.
The designer wanted to help the lawyer but she refused.	8	6	8	6	The designer wanted to help a lawyer but she refused.
The lawyer wanted to help the designer but he refused.	8	6	8	6	The lawyer wanted to help the designer but he refused.
The accountant got angry with the mechanic and complained to the boss about her.	-1	-1	-1	-1	The accountant got mad at the mechanic. And complained to the boss about her.
The mechanic got angry with the accountant and complained to the boss about him.	-1	-1	-1	-1	The mechanic got mad at the accountant. And complained about the boss on him.
The cook sent the cashier a present and expressed thanks to him.	-1	4	-1	4	The massacre sent the cashier a gift and confessed to him.
The cashier sent the cook a present and expressed thanks to her.	-1	4	-1	7	The cashier sent a gift to the cook and expressed thanks to her.
The laborer eats more than the cleaner because she works harder.	-1	-1	-1	-1	Hapoel eats more than a cleaner because it works harder.
The cleaner eats more than the laborer because he works harder.	8	1	8	1	The cleaner eats more than the laborer. Because he works harder
The mechanic learned a lot from the teacher and sent him a thankful card.	-1	-1	-1	-1	The mechanic learned a lot from the teacher. And send him a thank-you card.
The teacher learned a lot from the mechanic and sent her a thankful card.	10	7	10	7	The teacher learned a lot from the mechanic and sent her a thank-you card.
The baker passed the box to the guard and asked her to make the delivery.	-1	-1	-1	-1	The Baker passed the box to the guard. And asked her to make the delivery.
The guard passed the box to the baker and appreciated his baking skills.	-1	-1	-1	-1	The guard passed the box to the baker. And appreciated his baking skills
The tailor stopped the guard and showed her identification.	-1	-1	-1	-1	The tailor stopped the guard. And showed her some identification.
The guard stopped the tailor and asked for his identification.	8	4	8	4	The guard stopped the tailor and asked for his ID card.
The analyst asked the clerk some questions and thanked him.	-1	4	-1	4	The analyst asked the clerk for some questions and thanked him.
The clerk asked the analyst some questions and sent her away.	9	4	10	4	The clerk asked the analyst a few questions and sent her away.
The lawyer asked the nurse about the operation and thanked him.	-1	4	-1	4	The lawyer asked the nurse about the operation and thanked him.
The nurse asked the lawyer about the case and thanked her.	-1	4	-1	4	The nurse asked the lawyer about the case and thanked her.
The carpenter stopped the housekeeper and helped him.	-1	-1	-1	-1	The carpenter stopped the housekeeper. And helped him
The housekeeper stopped the carpenter and helped her.	-1	4	-1	4	The housekeeper stopped. The carpenter and helped her.
The sheriff opened the door for the housekeeper and waited for him to pass by.	-1	-1	-1	-1	The sheriff opened the maid's door and waited for him to pass.
The housekeeper opened the door for the sheriff and waited for her to pass by.	-1	-1	-1	-1	The housekeeper opened the sheriff's door. And waited for her to pass by.
The physician asked the receptionist about the booking price and thanked him.	-1	4	-1	4	The doctor asked the receptionist about the price of the reservation and thanked him.
The receptionist helped the physician find the room and left her alone.	-1	-1	-1	-1	The receptionist helped the doctor find the room and left her alone.
The lawyer saw the editor in the restaurant and greeted him.	-1	4	-1	4	The lawyer saw the editor in the restaurant and greeted him.
The editor saw the lawyer in the restaurant and greeted her.	-1	4	-1	4	The editor saw the lawyer in the restaurant and greeted her.
The farmer bought a book from the writer and paid him.	-1	7	-1	7	The farmer bought a book from the writer and paid him.
The writer bought some fruit from the farmer and paid her.	-1	-1	-1	-1	The scribe bought fruit from the farmer. And paid her
The sheriff borrowed a book from the librarian but never returned anything to him.	-1	-1	-1	-1	The sheriff asked a book from the librarian. But he never returned anything to him.
The librarian helped the sheriff find the book and smiled at her.	-1	-1	-1	-1	The librarian helped the Sheriff find The book and smiled at her.
The salesperson talked to the teacher and invited him to dinner.	8	5	8	5	The salesperson spoke with the teacher and invited him over for dinner.
The teacher talked to the salesperson and invited her to dinner.	-1	-1	-1	-1	The teacher talked to the salesman. And invited her over for dinner.
The janitor cleaned for the baker and asked him for the tips.	-1	-1	-1	-1	The janitor cleaned up the baker. And asked him for the tips
The baker packed the janitor some bread and waited for her to pay.	-1	-1	-1	-1	The baker brought up some bread. And waited for her to pay.
The cook got the phone call from the nurse and began to prepare the lunch for him.	-1	8	12	8	The massacre took the phone call from the nurse and began preparing his lunch.
The nurse got the phone call from the cook and began to prepare the surgery for her.	-1	-1	-1	-1	The nurse got the phone call from the massacre. And started preparing the surgery for her.
The developer successfully sold the housekeeper the product and helped him to set up.	-1	-1	-1	-1	The entrepreneur successfully sold the product housewife and helped him establish.
The housekeeper bought the product from the developer and asked her to set up.	-1	-1	-1	-1	The housekeeper bought the product from the key and asked her to establish it.
The driver dropped the accountant at the corner and asked him to watch out when crossing the street.	10	4	10	4	The driver knocked the accountant in the corner and asked him to be careful about crossing the street.
The accountant asked the driver to stop at the corner and gave her some tips.	12	4	12	4	The accountant asked the driver to stop at the corner and gave her some tips.
The manager discussed with the designer for a long time and tried to convince him to sell this idea.	14	5	13	4	The principal discusses the designer for a long time and tried to convince him to sell this idea.
The designer discussed with the manager for a long time but still refused to sell the idea to her.	-1	5	15	5	The designer spoke with the manager for a long time, but still refused to sell her the idea.
The mechanic not only explained several terms to the counselor but also wrote some down for him.	-1	-1	-1	-1	The mechanic not only explained a few terms to the consultant, but also wrote some for him.
